obs_grid_id,d03_1_id,d03_1_dist,d03_2_id,d03_2_dist,d03_3_id,d03_3_dist
100063,1104980,1.2149890924120177,1104980,1.2149890924120177,1104980,1.2149890924120177
100056,1104469,1.5442911706584066,1104469,1.5442911706584066,1104469,1.5442911706584066
100041,1105881,1.1365144308624464,1105881,1.1365144308624464,1105881,1.1365144308624464
100038,1104468,0.5015748593226341,1104468,0.5015748593226341,1104468,0.5015748593226341
100039,1105274,1.4339409521908075,1105274,1.4339409521908075,1105274,1.4339409521908075
100042,1104174,0.6650528173940691,1104174,0.6650528173940691,1104174,0.6650528173940691
100043,1104371,1.362228862450525,1104371,1.362228862450525,1104371,1.362228862450525
100037,1104389,1.6850492804474675,1104389,1.6850492804474675,1104389,1.6850492804474675
100040,1114473,0.9897132905049221,1114473,0.9897132905049221,1114473,0.9897132905049221
100064,1104171,1.1547658251827007,1104171,1.1547658251827007,1104171,1.1547658251827007
100046,1104304,0.45390541674438495,1104304,0.45390541674438495,1104304,0.45390541674438495
100057,1104371,1.6559212856022139,1104371,1.6559212856022139,1104371,1.6559212856022139
