id,stationId,latitude,longitude
100046,curw_ambewela,6.890585,80.802551
100075,curw_attidiya,6.8458199,79.8829689
100060,curw_dickoya,6.8722,80.60312
100037,curw_hingurana,6.904552,80.407895
100043,curw_IBATTARA2,6.908,79.919
100040,curw_jaffna,9.6607949,80.0298459
100007,curw_kitulgala,6.989166667,80.41777778
100064,curw_kohuwala,6.860887,79.885825
100056,curw_kotikawatta,6.935042,79.915401
100042,curw_kottawa_dharmapala_north,6.865576,79.958181
100039,curw_mahapallegama,7.169737,80.258512
100059,curw_malabe,6.90396,79.95738
100057,curw_mulleriyawa,6.923571,79.941176
100061,curw_mutwal,6.95871,79.8609
100038,curw_orugodawatta,6.943741,79.87887
100041,curw_uduwawala,7.329,80.613
100063,curw_urumewella,7.079348,80.348785
100045,curw_waga,6.90678,80.118275
300000,gov_irr_canyon,6.871389,80.524444
300001,gov_irr_castlereigh,6.872778,80.564444
